epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
101,1658.93,0.45822,0.25742,0.89158,0.97672,0.99886,0.99453,0.61409,1.26595,0.4203,1.72777,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
102,1674.94,0.43338,0.26455,0.88702,0.97669,0.99778,0.99453,0.63254,1.26124,0.42163,1.72116,0.00360024,0.00120008,0.00360024,0.00120008,0.00360024,0.00120008,0.00360024,0.00120008
103,1691.4,0.43579,0.25353,0.86814,1,0.99928,0.995,0.63811,1.25707,0.40057,1.76503,0.00357648,0.00119216,0.00357648,0.00119216,0.00357648,0.00119216,0.00357648,0.00119216
104,1708.06,0.42801,0.25017,0.86755,0.99859,1,0.995,0.63902,1.2619,0.39886,1.80009,0.00355272,0.00118424,0.00355272,0.00118424,0.00355272,0.00118424,0.00355272,0.00118424
105,1724.04,0.44876,0.26723,0.86654,0.99869,1,0.995,0.62651,1.25879,0.3994,1.80437,0.00352896,0.00117632,0.00352896,0.00117632,0.00352896,0.00117632,0.00352896,0.00117632
106,1740.18,0.3895,0.2408,0.84572,0.99796,1,0.995,0.63318,1.28601,0.41222,1.82411,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
107,1756.21,0.43707,0.25564,0.86516,0.99795,1,0.995,0.62167,1.28408,0.4264,1.84007,0.00348144,0.00116048,0.00348144,0.00116048,0.00348144,0.00116048,0.00348144,0.00116048
108,1772.21,0.43958,0.24711,0.88447,0.9978,1,0.995,0.61765,1.27245,0.40961,1.83836,0.00345768,0.00115256,0.00345768,0.00115256,0.00345768,0.00115256,0.00345768,0.00115256
109,1788.67,0.42842,0.26779,0.85313,0.99835,1,0.995,0.63483,1.26109,0.41756,1.84611,0.00343392,0.00114464,0.00343392,0.00114464,0.00343392,0.00114464,0.00343392,0.00114464
110,1804.98,0.42424,0.24552,0.85922,0.9994,1,0.995,0.63879,1.2365,0.42039,1.84621,0.00341016,0.00113672,0.00341016,0.00113672,0.00341016,0.00113672,0.00341016,0.00113672
111,1821.15,0.41961,0.24401,0.8825,1,0.99997,0.995,0.62845,1.23817,0.43614,1.83881,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
112,1837.29,0.41986,0.2429,0.85717,0.99543,1,0.995,0.63758,1.24337,0.45915,1.83211,0.00336264,0.00112088,0.00336264,0.00112088,0.00336264,0.00112088,0.00336264,0.00112088
113,1853.39,0.39163,0.24108,0.85476,0.99789,1,0.995,0.62888,1.25333,0.45135,1.8385,0.00333888,0.00111296,0.00333888,0.00111296,0.00333888,0.00111296,0.00333888,0.00111296
114,1869.94,0.41926,0.24201,0.86898,0.99858,1,0.995,0.63174,1.24925,0.45216,1.81771,0.00331512,0.00110504,0.00331512,0.00110504,0.00331512,0.00110504,0.00331512,0.00110504
115,1885.83,0.38633,0.23288,0.85367,0.99909,1,0.995,0.63171,1.24743,0.432,1.82108,0.00329136,0.00109712,0.00329136,0.00109712,0.00329136,0.00109712,0.00329136,0.00109712
116,1902.07,0.41954,0.27483,0.88164,0.99751,0.97619,0.99453,0.63112,1.22663,0.43859,1.80348,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
117,1918.23,0.44013,0.25209,0.87776,1,0.99733,0.995,0.62125,1.22962,0.43355,1.8002,0.00324384,0.00108128,0.00324384,0.00108128,0.00324384,0.00108128,0.00324384,0.00108128
118,1934.46,0.44568,0.26746,0.90344,1,0.9982,0.995,0.61534,1.22244,0.43457,1.79815,0.00322008,0.00107336,0.00322008,0.00107336,0.00322008,0.00107336,0.00322008,0.00107336
119,1950.85,0.42272,0.25067,0.86911,1,0.99802,0.995,0.61057,1.20041,0.43129,1.77352,0.00319632,0.00106544,0.00319632,0.00106544,0.00319632,0.00106544,0.00319632,0.00106544
120,1967.25,0.37079,0.23836,0.84387,0.99979,1,0.995,0.62004,1.19741,0.43196,1.8034,0.00317256,0.00105752,0.00317256,0.00105752,0.00317256,0.00105752,0.00317256,0.00105752
121,1983.16,0.39513,0.24455,0.85809,0.99861,1,0.995,0.61544,1.20441,0.41319,1.81289,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
122,1999.33,0.42807,0.25289,0.88883,0.99887,1,0.995,0.62464,1.19613,0.40734,1.80671,0.00312504,0.00104168,0.00312504,0.00104168,0.00312504,0.00104168,0.00312504,0.00104168
123,2015.42,0.43175,0.26081,0.87291,0.99853,1,0.995,0.62527,1.21357,0.38742,1.83224,0.00310128,0.00103376,0.00310128,0.00103376,0.00310128,0.00103376,0.00310128,0.00103376
124,2031.63,0.41054,0.23955,0.87288,0.99861,1,0.995,0.62372,1.21664,0.37716,1.8231,0.00307752,0.00102584,0.00307752,0.00102584,0.00307752,0.00102584,0.00307752,0.00102584
125,2048.18,0.37656,0.23037,0.83172,0.99919,1,0.995,0.61877,1.20396,0.40696,1.84663,0.00305376,0.00101792,0.00305376,0.00101792,0.00305376,0.00101792,0.00305376,0.00101792
126,2064.68,0.41967,0.24753,0.87654,1,0.99969,0.995,0.61915,1.21125,0.40527,1.85831,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
127,2080.49,0.39149,0.24644,0.8641,1,0.99993,0.995,0.62515,1.20716,0.4026,1.86086,0.00300624,0.00100208,0.00300624,0.00100208,0.00300624,0.00100208,0.00300624,0.00100208
128,2096.75,0.39279,0.2393,0.8792,0.99994,1,0.995,0.62988,1.18774,0.39208,1.85528,0.00298248,0.00099416,0.00298248,0.00099416,0.00298248,0.00099416,0.00298248,0.00099416
129,2113.69,0.40448,0.24443,0.85475,0.99922,1,0.995,0.63266,1.18376,0.39004,1.84437,0.00295872,0.00098624,0.00295872,0.00098624,0.00295872,0.00098624,0.00295872,0.00098624
130,2129.9,0.44759,0.24715,0.8776,0.99969,1,0.995,0.64246,1.18105,0.40136,1.82725,0.00293496,0.00097832,0.00293496,0.00097832,0.00293496,0.00097832,0.00293496,0.00097832
131,2146.05,0.40956,0.2364,0.84778,0.99948,1,0.995,0.63098,1.19335,0.39607,1.84074,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
132,2162.5,0.39661,0.24547,0.86535,1,0.99996,0.995,0.63133,1.20497,0.39544,1.81916,0.00288744,0.00096248,0.00288744,0.00096248,0.00288744,0.00096248,0.00288744,0.00096248
